park,site,sample_number,date,injection_number,analysis,area,tn_mgl
TN,RPS,blank,2022-09-25 3:13,2,TN,9.418,0.291248301
TN,RPS,blank,2022-09-25 3:18,3,TN,9.466,0.292948082
TN,BIG,1,2022-09-25 3:26,1,TN,16.29,0.534600232
TN,BIG,1,2022-09-25 3:40,4,TN,16.24,0.532829627
TN,BIG,1,2022-09-25 3:44,5,TN,15.89,0.520435393
TN,BIG,2,2022-09-25 3:51,1,TN,16.49,0.541682651
TN,BIG,2,2022-09-25 3:56,2,TN,16.42,0.539203805
TN,BIG,2,2022-09-25 4:05,4,TN,16.82,0.553368643
TN,BIG,3,2022-09-25 4:13,1,TN,19.39,0.644377733
TN,BIG,3,2022-09-25 4:18,2,TN,19.18,0.636941192
TN,BIG,3,2022-09-25 4:22,3,TN,18.81,0.623838716
TN,JUS,1,2022-09-25 4:54,1,TN,34.06,1.163873196
TN,JUS,1,2022-09-25 5:00,2,TN,33.34,1.138376486
TN,JUS,1,2022-09-25 5:05,3,TN,33.51,1.144396542
TN,JUS,2,2022-09-25 5:13,1,TN,29.08,0.987520953
TN,JUS,2,2022-09-25 5:18,2,TN,29.42,0.999561066
TN,JUS,2,2022-09-25 5:23,3,TN,29.62,1.006643485
TN,JUS,3,2022-09-25 5:31,1,TN,33.24,1.134835276
TN,JUS,3,2022-09-25 5:41,3,TN,33.1,1.129877583
TN,JUS,3,2022-09-25 5:46,4,TN,33.62,1.148291873
TN,BLD,1,2022-09-25 5:53,1,TN,29.9,1.016558872
TN,BLD,1,2022-09-25 5:58,2,TN,30.61,1.041701461
TN,BLD,1,2022-09-25 6:03,3,TN,29.81,1.013371784
TN,BLD,2,2022-09-25 6:11,1,TN,32.89,1.122441042
TN,BLD,2,2022-09-25 6:15,2,TN,33.86,1.156790776
TN,BLD,2,2022-09-25 6:20,3,TN,34.1,1.16528968
TN,BLD,3,2022-09-25 6:32,2,TN,24.54,0.826750032
TN,BLD,3,2022-09-25 6:37,3,TN,24.85,0.837727782
TN,BLD,3,2022-09-25 6:42,4,TN,25.51,0.861099766
TN,TIC,1,2022-09-25 6:54,1,TN,25.84,0.872785758
TN,TIC,1,2022-09-25 6:58,2,TN,25.95,0.876681089
TN,TIC,1,2022-09-25 7:02,3,TN,26.46,0.894741259
TN,TIC,2,2022-09-25 7:10,1,TN,23.61,0.793816782
TN,TIC,2,2022-09-25 7:14,2,TN,24.37,0.820729976
TN,TIC,2,2022-09-25 7:18,3,TN,24.24,0.816126403
TN,TIC,3,2022-09-25 7:26,1,TN,23.41,0.786734363
