park,site,sample_number,date,injection_number,area,doc_mgl
TN,BIG,3,2022-09-25 4:13,1,240.6,11.68215083
TN,BIG,3,2022-09-25 4:18,2,241.2,11.71243762
TN,BIG,3,2022-09-25 4:22,3,238.9,11.59633828
TN,JUS,1,2022-09-25 4:54,1,545.3,27.06278984
TN,JUS,1,2022-09-25 5:00,2,548,27.19908037
TN,JUS,1,2022-09-25 5:05,3,545.4,27.06783764
TN,JUS,2,2022-09-25 5:13,1,482.2,23.87762961
TN,JUS,2,2022-09-25 5:18,2,483.8,23.95839437
TN,JUS,2,2022-09-25 5:23,3,489.6,24.25116663
TN,JUS,3,2022-09-25 5:31,1,538,26.69430062
TN,JUS,3,2022-09-25 5:36,2,539.5,26.77001758
TN,JUS,3,2022-09-25 5:41,3,535.7,26.57820128
TN,BLD,1,2022-09-25 5:53,1,401.6,19.80910482
TN,BLD,1,2022-09-25 5:58,2,395.5,19.50118917
TN,BLD,1,2022-09-25 6:03,3,393.7,19.41032882
TN,BLD,2,2022-09-25 6:11,1,403.8,19.92015637
TN,BLD,2,2022-09-25 6:15,2,400.7,19.76367464
TN,BLD,2,2022-09-25 6:20,3,398.1,19.63243191
TN,BLD,3,2022-09-25 6:28,1,301.8,14.77140291
TN,BLD,3,2022-09-25 6:32,2,298.1,14.5846344
TN,BLD,3,2022-09-25 6:37,3,300,14.68054255
TN,TIC,1,2022-09-25 6:54,1,240.7,11.68719863
TN,TIC,1,2022-09-25 6:58,2,240.5,11.67710304
TN,TIC,1,2022-09-25 7:02,3,239.4,11.62157726
TN,TIC,2,2022-09-25 7:10,1,240.3,11.66700744
TN,TIC,2,2022-09-25 7:14,2,240.9,11.69729423
TN,TIC,2,2022-09-25 7:18,3,239.8,11.64176845
TN,TIC,3,2022-09-25 7:26,1,332.3,16.31098115
TN,TIC,3,2022-09-25 7:30,2,326,15.9929699
TN,TIC,3,2022-09-25 7:34,3,324.5,15.91725294
TN,BFF,1,2022-09-25 7:42,1,256.1,12.46455945
TN,BFF,1,2022-09-25 7:47,2,255.1,12.41408147
TN,BFF,1,2022-09-25 7:51,3,255.1,12.41408147
TN,BFF,2,2022-09-25 8:15,1,236.5,11.47519114
TN,BFF,2,2022-09-25 8:19,2,238.6,11.58119488
TN,BFF,2,2022-09-25 8:24,3,238.1,11.5559559
TN,BFF,3,2022-09-25 8:31,1,214.2,10.34953229
TN,BFF,3,2022-09-25 8:36,2,216.7,10.47572723
TN,BFF,3,2022-09-25 8:40,3,216.7,10.47572723
TN,GTG,1,2022-09-25 8:49,1,310,15.1853223
TN,GTG,1,2022-09-25 8:54,2,311.8,15.27618266
TN,GTG,1,2022-09-25 8:58,3,311.1,15.24084808
TN,GTG,2,2022-09-25 9:15,1,330,16.19488181
TN,GTG,2,2022-09-25 9:20,2,325.9,15.98792211
TN,GTG,2,2022-09-25 9:25,3,327.1,16.04849568
TN,GTG,3,2022-09-25 9:38,1,300.5,14.70578154
TN,GTG,3,2022-09-25 9:43,2,301.2,14.74111612
TN,GTG,3,2022-09-25 9:47,3,300.5,14.70578154
TN,GTG,blank,2022-09-25 9:59,1,144.3,6.821121833
TN,GTG,blank,2022-09-25 10:03,2,140.3,6.619209933
TN,GTG,blank,2022-09-25 10:07,3,139.6,6.58387535
GM,MIT,1,2022-09-22 16:47,1,270.3,11.20957406
GM,MIT,1,2022-09-22 16:52,2,273.3,11.33818552
GM,MIT,1,2022-09-22 16:57,3,270.1,11.20099996
GM,MIT,2,2022-09-22 17:09,1,273.3,11.33818552
GM,MIT,2,2022-09-22 17:14,2,275.4,11.42821355
GM,MIT,2,2022-09-22 17:19,3,271.4,11.2567316
GM,MIT,3,2022-09-22 17:31,1,291.4,12.11414137
GM,MIT,3,2022-09-22 17:36,2,293.2,12.19130825
GM,MIT,3,2022-09-22 17:41,3,289.2,12.0198263
GM,SLA,1,2022-09-22 17:49,1,570.2,24.06643365
GM,SLA,1,2022-09-22 17:54,2,567.8,23.96354447
GM,SLA,1,2022-09-22 18:00,3,561.1,23.6763122
GM,SLA,2,2022-09-22 18:08,1,571.1,24.10501709
GM,SLA,2,2022-09-22 18:13,2,577.2,24.36652707
GM,SLA,2,2022-09-22 18:18,3,572.8,24.17789692
GM,SLA,3,2022-09-22 18:26,1,679.1,28.73502988
GM,SLA,3,2022-09-22 18:31,2,676.3,28.61499251
GM,SLA,3,2022-09-22 18:36,3,670.3,28.35776958
GM,SLA,blank,2022-09-22 18:44,1,141.5,5.687855101
GM,SLA,blank,2022-09-22 18:48,2,141.2,5.674993954
GM,SLA,blank,2022-09-22 18:52,3,138,5.53780839
GM,RHB,1,2022-09-22 19:04,1,270.4,11.21386111
GM,RHB,1,2022-09-22 19:09,2,271,11.2395834
GM,RHB,1,2022-09-22 19:14,3,270.9,11.23529635
GM,RHB,2,2022-09-22 19:22,1,293.3,12.1955953
GM,RHB,2,2022-09-22 19:26,2,291.4,12.11414137
GM,RHB,2,2022-09-22 19:31,3,290.6,12.07984498
GM,RHB,3,2022-09-22 19:44,1,256.2,10.60510017
GM,RHB,3,2022-09-22 19:48,2,256.9,10.63510951
GM,RHB,3,2022-09-22 19:53,3,250.4,10.35645133
GM,GMS,1,2022-09-22 20:20,1,334.2,13.94899829
GM,GMS,1,2022-09-22 20:25,2,337.9,14.1076191
GM,GMS,1,2022-09-22 20:31,3,335.5,14.00472993
GM,GMS,2,2022-09-22 20:48,1,443.7,18.64331682
GM,GMS,2,2022-09-22 20:53,2,439.4,18.45897371
GM,GMS,2,2022-09-22 20:58,3,441.5,18.54900174
GM,GMS,3,2022-09-22 21:11,1,370,15.48376179
GM,GMS,3,2022-09-22 21:16,2,366,15.31227984
GM,GMS,3,2022-09-22 21:21,3,371.3,15.53949343
GM,GMS,blank,2022-09-22 21:33,2,176.7,7.196896306
GM,GMS,blank,2022-09-22 21:37,3,175.6,7.149738769
GM,GMS,blank,2022-09-22 21:41,4,177.3,7.2226186
GM,TUK,1,2022-09-22 21:57,1,267.8,11.10239784
GM,TUK,1,2022-09-22 22:02,2,269,11.15384242
GM,TUK,1,2022-09-22 22:07,3,271.8,11.27387979
GM,TUK,2,2022-09-22 22:20,1,292.3,12.15272481
GM,TUK,2,2022-09-22 22:25,2,292.7,12.16987301
GM,TUK,2,2022-09-22 22:30,3,295.7,12.29848447
GM,TUK,3,2022-09-22 22:43,1,279.5,11.60398255
GM,TUK,3,2022-09-22 22:48,2,271,11.2395834
GM,TUK,3,2022-09-22 22:53,3,270.5,11.21814816
GM,LOM,1,2022-09-22 23:10,1,176.8,7.201183355
GM,LOM,1,2022-09-22 23:15,2,177,7.209757453
GM,LOM,1,2022-09-22 23:20,3,176.1,7.171174013
GM,LOM,2,2022-09-22 23:28,1,218.1,8.971734542
GM,LOM,2,2022-09-22 23:32,2,215.1,8.843123076
GM,LOM,2,2022-09-22 23:37,3,219.6,9.036040276
GM,LOM,3,2022-09-22 23:49,1,189.2,7.732777416
GM,LOM,3,2022-09-22 23:54,2,192.3,7.865675932
GM,LOM,3,2022-09-22 23:59,3,189.4,7.741351514
GM,LOM,blank,2022-09-23 0:34,1,77.45,2.942000293
GM,LOM,blank,2022-09-23 0:38,2,76.31,2.893127936
GM,LOM,blank,2022-09-23 0:42,3,75.48,2.85754543
GM,MAC,1,2022-09-23 0:58,1,250,10.33930314
GM,MAC,1,2022-09-23 1:03,2,249.9,10.33501609
GM,MAC,1,2022-09-23 1:08,3,247,10.21069167
GM,MAC,2,2022-09-23 1:17,1,283.1,11.75831631
GM,MAC,2,2022-09-23 1:21,2,281.8,11.70258468
GM,MAC,2,2022-09-23 1:26,3,279.4,11.59969551
