spatial_extent,model,model_number,predictor,estimate,log_likelihood,delta_aic,aic,adjusted_r2
catchment,EPT index,5,substrate size,0.24 (0.25),-0.011312102,6.880387893,16.0226242,0.005343455
catchment,EPT index,6,intercept,0.15 (0.18),-0.208535334,7.274834358,16.41707067,-0.008767805
catchment,EPT index,6,forest disturbance,0.21 (0.2),-0.208535334,7.274834358,16.41707067,-0.008767805
catchment,EPT index,6,human impact,-0.06 (0.2),-0.208535334,7.274834358,16.41707067,-0.008767805
catchment,EPT index,6,wetted width,0.21 (0.21),-0.208535334,7.274834358,16.41707067,-0.008767805
catchment,EPT index,6,substrate size,0.23 (0.25),-0.208535334,7.274834358,16.41707067,-0.008767805
catchment,EPT index,7,intercept,0.13 (0.18),0.187189844,10.083384,19.22562031,-0.025228249
catchment,EPT index,7,forest disturbance,0.13 (0.22),0.187189844,10.083384,19.22562031,-0.025228249
catchment,EPT index,7,road density,0.17 (0.22),0.187189844,10.083384,19.22562031,-0.025228249
catchment,EPT index,7,human impact,-0.12 (0.21),0.187189844,10.083384,19.22562031,-0.025228249
catchment,EPT index,7,wetted width,0.21 (0.21),0.187189844,10.083384,19.22562031,-0.025228249
catchment,EPT index,7,substrate size,0.25 (0.26),0.187189844,10.083384,19.22562031,-0.025228249
catchment,EPT index,8,intercept,0.19 (0.2),-0.778069629,8.413902946,17.55613926,-0.050651673
catchment,EPT index,8,wetted width,0.21 (0.25),-0.778069629,8.413902946,17.55613926,-0.050651673
catchment,EPT index,8,substrate size,0.27 (0.27),-0.778069629,8.413902946,17.55613926,-0.050651673
catchment,EPT index,8,canopy,0.1 (0.19),-0.778069629,8.413902946,17.55613926,-0.050651673
catchment,EPT index,8,flow,-0.1 (0.22),-0.778069629,8.413902946,17.55613926,-0.050651673
catchment,periphyton biomass,null,intercept,0.2 (0.04),5.935291373,0,-7.390582747,0
catchment,periphyton biomass,1,intercept,-0.01 (0.12),9.956064712,0.20572605,-7.184856697,0.155841546
catchment,periphyton biomass,1,forest disturbance,-0.12 (0.13),9.956064712,0.20572605,-7.184856697,0.155841546
catchment,periphyton biomass,1,wetted width,0.41 (0.16),9.956064712,0.20572605,-7.184856697,0.155841546
catchment,periphyton biomass,1,canopy,0.2 (0.13),9.956064712,0.20572605,-7.184856697,0.155841546
catchment,periphyton biomass,2,intercept,-0.03 (0.12),9.57057132,0.976712834,-6.413869913,0.132274465
catchment,periphyton biomass,2,road density,-0.06 (0.13),9.57057132,0.976712834,-6.413869913,0.132274465
catchment,periphyton biomass,2,wetted width,0.41 (0.16),9.57057132,0.976712834,-6.413869913,0.132274465
catchment,periphyton biomass,2,canopy,0.18 (0.13),9.57057132,0.976712834,-6.413869913,0.132274465
catchment,periphyton biomass,3,intercept,-0.05 (0.12),9.482334699,1.153186076,-6.237396671,0.126788253
catchment,periphyton biomass,3,human impact,-0.03 (0.14),9.482334699,1.153186076,-6.237396671,0.126788253
catchment,periphyton biomass,3,wetted width,0.42 (0.16),9.482334699,1.153186076,-6.237396671,0.126788253
catchment,periphyton biomass,3,canopy,0.17 (0.13),9.482334699,1.153186076,-6.237396671,0.126788253
catchment,periphyton biomass,4,intercept,-0.03 (0.13),9.573943415,4.242695916,-3.147886831,0.094765332
catchment,periphyton biomass,4,road density,-0.05 (0.14),9.573943415,4.242695916,-3.147886831,0.094765332
catchment,periphyton biomass,4,human impact,-0.01 (0.14),9.573943415,4.242695916,-3.147886831,0.094765332
catchment,periphyton biomass,4,wetted width,0.41 (0.17),9.573943415,4.242695916,-3.147886831,0.094765332
catchment,periphyton biomass,4,canopy,0.17 (0.13),9.573943415,4.242695916,-3.147886831,0.094765332
catchment,periphyton biomass,5,intercept,-0.01 (0.13),9.961847353,3.466888042,-3.923694705,0.119502765
catchment,periphyton biomass,5,forest disturbance,-0.12 (0.15),9.961847353,3.466888042,-3.923694705,0.119502765
catchment,periphyton biomass,5,road density,-0.01 (0.14),9.961847353,3.466888042,-3.923694705,0.119502765
catchment,periphyton biomass,5,wetted width,0.41 (0.16),9.961847353,3.466888042,-3.923694705,0.119502765
catchment,periphyton biomass,5,canopy,0.2 (0.13),9.961847353,3.466888042,-3.923694705,0.119502765
catchment,periphyton biomass,6,intercept,0.01 (0.13),10.01997194,3.350638863,-4.039943884,0.123150797
catchment,periphyton biomass,6,forest disturbance,-0.13 (0.14),10.01997194,3.350638863,-4.039943884,0.123150797
catchment,periphyton biomass,6,human impact,-0.04 (0.14),10.01997194,3.350638863,-4.039943884,0.123150797
catchment,periphyton biomass,6,wetted width,0.41 (0.16),10.01997194,3.350638863,-4.039943884,0.123150797
catchment,periphyton biomass,6,canopy,0.19 (0.13),10.01997194,3.350638863,-4.039943884,0.123150797
catchment,periphyton biomass,7,intercept,0.01 (0.14),10.02018705,6.950208643,-0.440374103,0.0833081
catchment,periphyton biomass,7,forest disturbance,-0.13 (0.16),10.02018705,6.950208643,-0.440374103,0.0833081
catchment,periphyton biomass,7,road density,0 (0.15),10.02018705,6.950208643,-0.440374103,0.0833081
catchment,periphyton biomass,7,human impact,-0.05 (0.15),10.02018705,6.950208643,-0.440374103,0.0833081
catchment,periphyton biomass,7,wetted width,0.41 (0.17),10.02018705,6.950208643,-0.440374103,0.0833081
catchment,periphyton biomass,7,canopy,0.19 (0.13),10.02018705,6.950208643,-0.440374103,0.0833081
catchment,periphyton biomass,8,intercept,0 (0.14),9.78265812,3.825266506,-3.565316241,0.108160647
catchment,periphyton biomass,8,wetted width,0.44 (0.17),9.78265812,3.825266506,-3.565316241,0.108160647
catchment,periphyton biomass,8,% wetland,-0.08 (0.15),9.78265812,3.825266506,-3.565316241,0.108160647
catchment,periphyton biomass,8,substrate size,-0.08 (0.18),9.78265812,3.825266506,-3.565316241,0.108160647
catchment,periphyton biomass,8,canopy,0.17 (0.13),9.78265812,3.825266506,-3.565316241,0.108160647
catchment,% shredders,null,intercept,0.28 (0.05),-1.207543742,4.897388508,6.895087485,0
catchment,% shredders,1,intercept,0.73 (0.14),5.22236106,0.28485163,2.282550607,0.289293603
catchment,% shredders,1,forest disturbance,-0.1 (0.16),5.22236106,0.28485163,2.282550607,0.289293603
catchment,% shredders,1,wetted width,-0.21 (0.17),5.22236106,0.28485163,2.282550607,0.289293603
catchment,% shredders,1,substrate size,-0.61 (0.2),5.22236106,0.28485163,2.282550607,0.289293603
catchment,% shredders,2,intercept,0.73 (0.13),5.364786875,0,1.997698976,0.29648716
catchment,% shredders,2,road density,-0.12 (0.15),5.364786875,0,1.997698976,0.29648716
catchment,% shredders,2,wetted width,-0.2 (0.16),5.364786875,0,1.997698976,0.29648716
catchment,% shredders,2,substrate size,-0.63 (0.2),5.364786875,0,1.997698976,0.29648716
catchment,% shredders,3,intercept,0.7 (0.12),5.012828912,0.703915926,2.701614903,0.278576761
catchment,% shredders,3,human impact,-0.03 (0.16),5.012828912,0.703915926,2.701614903,0.278576761
catchment,% shredders,3,wetted width,-0.19 (0.17),5.012828912,0.703915926,2.701614903,0.278576761
catchment,% shredders,3,substrate size,-0.63 (0.2),5.012828912,0.703915926,2.701614903,0.278576761
catchment,% shredders,4,intercept,0.73 (0.13),5.365094667,3.272111691,5.269810667,0.265915785
catchment,% shredders,4,road density,-0.12 (0.16),5.365094667,3.272111691,5.269810667,0.265915785
catchment,% shredders,4,human impact,0 (0.16),5.365094667,3.272111691,5.269810667,0.265915785
catchment,% shredders,4,wetted width,-0.2 (0.17),5.365094667,3.272111691,5.269810667,0.265915785
catchment,% shredders,4,substrate size,-0.63 (0.21),5.365094667,3.272111691,5.269810667,0.265915785
catchment,% shredders,5,intercept,0.75 (0.14),5.442455399,3.117390226,5.115089202,0.269960976
catchment,% shredders,5,forest disturbance,-0.06 (0.17),5.442455399,3.117390226,5.115089202,0.269960976
catchment,% shredders,5,road density,-0.1 (0.17),5.442455399,3.117390226,5.115089202,0.269960976
catchment,% shredders,5,wetted width,-0.21 (0.17),5.442455399,3.117390226,5.115089202,0.269960976
catchment,% shredders,5,substrate size,-0.62 (0.21),5.442455399,3.117390226,5.115089202,0.269960976
catchment,% shredders,6,intercept,0.74 (0.15),5.278283059,3.445734906,5.443433882,0.261349712
catchment,% shredders,6,forest disturbance,-0.11 (0.16),5.278283059,3.445734906,5.443433882,0.261349712
catchment,% shredders,6,human impact,-0.05 (0.16),5.278283059,3.445734906,5.443433882,0.261349712
catchment,% shredders,6,wetted width,-0.21 (0.17),5.278283059,3.445734906,5.443433882,0.261349712
catchment,% shredders,6,substrate size,-0.61 (0.21),5.278283059,3.445734906,5.443433882,0.261349712
catchment,% shredders,7,intercept,0.75 (0.15),5.44729041,6.707720203,8.70541918,0.237040923
catchment,% shredders,7,forest disturbance,-0.07 (0.18),5.44729041,6.707720203,8.70541918,0.237040923
catchment,% shredders,7,road density,-0.09 (0.18),5.44729041,6.707720203,8.70541918,0.237040923
catchment,% shredders,7,human impact,-0.02 (0.18),5.44729041,6.707720203,8.70541918,0.237040923
catchment,% shredders,7,wetted width,-0.21 (0.17),5.44729041,6.707720203,8.70541918,0.237040923
catchment,% shredders,7,substrate size,-0.62 (0.21),5.44729041,6.707720203,8.70541918,0.237040923
catchment,% shredders,8,intercept,0.8 (0.15),6.100144881,1.802011262,3.799710238,0.303463518
catchment,% shredders,8,canopy,-0.1 (0.15),6.100144881,1.802011262,3.799710238,0.303463518
catchment,% shredders,8,flow,-0.2 (0.18),6.100144881,1.802011262,3.799710238,0.303463518
catchment,% shredders,8,wetted width,-0.3 (0.2),6.100144881,1.802011262,3.799710238,0.303463518
catchment,% shredders,8,substrate size,-0.55 (0.21),6.100144881,1.802011262,3.799710238,0.303463518
catchment,total nitrogen,null,intercept,0.25 (0.04),1.75370538,0,0.972589241,0
catchment,total nitrogen,1,intercept,0.16 (0.14),4.409731708,2.93522007,3.907809311,0.069406878
catchment,total nitrogen,1,forest disturbance,0.33 (0.18),4.409731708,2.93522007,3.907809311,0.069406878
catchment,total nitrogen,1,wetted width,-0.16 (0.17),4.409731708,2.93522007,3.907809311,0.069406878
catchment,total nitrogen,1,% wetland,0.08 (0.2),4.409731708,2.93522007,3.907809311,0.069406878
catchment,total nitrogen,2,intercept,0.38 (0.11),2.763884354,6.226914779,7.19950402,-0.046684338
catchment,total nitrogen,2,road density,-0.07 (0.17),2.763884354,6.226914779,7.19950402,-0.046684338
