"extent","model","model_num","k","delta_aicc","log_likelihood","adj_r2","% lake","% wetland","(intercept)","canopy","forest disturbance","human impact","road density","substrate size","wetted width"
"catchment","periphyton biomass","5",6,5.25939894974159,9.96184735256691,0.119502764979977,NA,NA,"-0.01 ( 0.13 )","0.2 ( 0.13 )","-0.12 ( 0.15 )",NA,"-0.01 ( 0.14 )",NA,"0.41 ( 0.16 )"
"catchment","periphyton biomass","6",6,5.14314977111034,10.0199719418825,0.123150796882789,NA,NA,"0.01 ( 0.13 )","0.19 ( 0.13 )","-0.13 ( 0.14 )","-0.04 ( 0.14 )",NA,NA,"0.41 ( 0.16 )"
"catchment","periphyton biomass","7",7,8.74271955138749,10.020187051744,0.0833080999930936,NA,NA,"0.01 ( 0.14 )","0.19 ( 0.13 )","-0.13 ( 0.16 )","-0.05 ( 0.15 )","0 ( 0.15 )",NA,"0.41 ( 0.17 )"
"catchment","periphyton biomass","8",4,0,9.46111204482901,0.160445002610858,NA,NA,"-0.05 ( 0.11 )","0.18 ( 0.12 )",NA,NA,NA,NA,"0.42 ( 0.16 )"
"catchment","periphyton biomass","9",3,3.42372666047561,6.3796834971999,-0.00601605765143809,NA,NA,"0.25 ( 0.07 )",NA,"-0.13 ( 0.14 )",NA,NA,NA,NA
"catchment","periphyton biomass","10",3,3.73465386163734,6.22421989661904,-0.0172496627097471,NA,NA,"0.23 ( 0.05 )",NA,NA,NA,"-0.1 ( 0.14 )",NA,NA
"catchment","periphyton biomass","11",3,4.10439678431495,6.03934843528023,-0.0307716337166855,NA,NA,"0.21 ( 0.05 )",NA,NA,"-0.06 ( 0.15 )",NA,NA,NA
"catchment","% shredders","null",2,7.13591131831224,-1.20754374230019,0,NA,NA,"0.28 ( 0.05 )",NA,NA,NA,NA,NA,NA
"catchment","% shredders","1",5,2.5233744404586,5.22236106026299,0.289293603431799,NA,NA,"0.73 ( 0.14 )",NA,"-0.1 ( 0.16 )",NA,NA,"-0.61 ( 0.2 )","-0.21 ( 0.17 )"
"catchment","% shredders","2",5,2.23852281000194,5.36478687549132,0.296487160234706,NA,NA,"0.73 ( 0.13 )",NA,NA,NA,"-0.12 ( 0.15 )","-0.63 ( 0.2 )","-0.2 ( 0.16 )"
"catchment","% shredders","3",5,2.94243873643106,5.01282891227676,0.278576760663015,NA,NA,"0.7 ( 0.12 )",NA,NA,"-0.03 ( 0.16 )",NA,"-0.63 ( 0.2 )","-0.19 ( 0.17 )"
"catchment","% shredders","4",6,5.5106345005692,5.36509466657133,0.265915784537818,NA,NA,"0.73 ( 0.13 )",NA,NA,"0 ( 0.16 )","-0.12 ( 0.16 )","-0.63 ( 0.21 )","-0.2 ( 0.17 )"
"catchment","% shredders","5",6,5.3559130360676,5.44245539882213,0.269960975884769,NA,NA,"0.75 ( 0.14 )",NA,"-0.06 ( 0.17 )",NA,"-0.1 ( 0.17 )","-0.62 ( 0.21 )","-0.21 ( 0.17 )"
"catchment","% shredders","6",6,5.68425771574554,5.27828305898316,0.261349711674646,NA,NA,"0.74 ( 0.15 )",NA,"-0.11 ( 0.16 )","-0.05 ( 0.16 )",NA,"-0.61 ( 0.21 )","-0.21 ( 0.17 )"
"catchment","% shredders","7",7,8.94624301332858,5.44729041019164,0.237040923371069,NA,NA,"0.75 ( 0.15 )",NA,"-0.07 ( 0.18 )","-0.02 ( 0.18 )","-0.09 ( 0.18 )","-0.62 ( 0.21 )","-0.21 ( 0.17 )"
"catchment","% shredders","8",4,0,4.98997713424723,0.306302312017445,NA,NA,"0.69 ( 0.12 )",NA,NA,NA,NA,"-0.63 ( 0.2 )","-0.19 ( 0.16 )"
"catchment","% shredders","9",3,9.30050314598726,-1.0298396561377,-0.0253634949781321,NA,NA,"0.32 ( 0.09 )",NA,"-0.11 ( 0.18 )",NA,NA,NA,NA
"catchment","% shredders","10",3,9.5524585795867,-1.15581737293742,-0.0346317717365796,NA,NA,"0.29 ( 0.07 )",NA,NA,NA,"-0.06 ( 0.18 )",NA,NA
"catchment","% shredders","11",3,9.63880632582191,-1.19899124605503,-0.0378273437359451,NA,NA,"0.28 ( 0.06 )",NA,NA,"-0.02 ( 0.19 )",NA,NA,NA
"catchment","total nitrogen","null",2,1.62241635870388,1.75370537952574,0,NA,NA,"0.25 ( 0.04 )",NA,NA,NA,NA,NA,NA
"catchment","total nitrogen","1",5,4.5576364285647,4.40973170823169,0.0694068781398415,NA,"0.08 ( 0.2 )","0.16 ( 0.14 )",NA,"0.33 ( 0.18 )",NA,NA,NA,"-0.16 ( 0.17 )"
"catchment","total nitrogen","2",5,7.84933113743913,2.76388435379448,-0.0466843380922848,NA,"-0.12 ( 0.19 )","0.38 ( 0.11 )",NA,NA,NA,"-0.07 ( 0.17 )",NA,"-0.2 ( 0.18 )"
"catchment","total nitrogen","3",5,6.58578645013455,3.39565669744677,-0.000500924082610155,NA,"-0.09 ( 0.18 )","0.31 ( 0.1 )",NA,NA,"0.19 ( 0.17 )",NA,NA,"-0.18 ( 0.17 )"
"catchment","total nitrogen","4",6,9.23764835586838,3.70608938094349,-0.0211063026515328,NA,"-0.11 ( 0.19 )","0.35 ( 0.11 )",NA,NA,"0.22 ( 0.17 )","-0.12 ( 0.17 )",NA,"-0.19 ( 0.17 )"
"catchment","total nitrogen","5",6,6.59747304003479,5.02617703886028,0.0707758846293621,NA,"0.08 ( 0.2 )","0.19 ( 0.14 )",NA,"0.39 ( 0.19 )",NA,"-0.17 ( 0.17 )",NA,"-0.17 ( 0.17 )"
"catchment","total nitrogen","6",6,4.68005861167306,5.98488425304115,0.132278451388715,NA,"0.13 ( 0.2 )","0.06 ( 0.15 )",NA,"0.39 ( 0.18 )","0.26 ( 0.16 )",NA,NA,"-0.14 ( 0.16 )"
"catchment","total nitrogen","7",7,4.13020205937027,8.05981252919254,0.217797650009124,NA,"0.15 ( 0.19 )","0.07 ( 0.14 )",NA,"0.53 ( 0.19 )","0.37 ( 0.16 )","-0.31 ( 0.17 )",NA,"-0.16 ( 0.15 )"
"catchment","total nitrogen","8",4,5.03541970460015,2.67676892396891,-0.0110889625928963,NA,"-0.1 ( 0.18 )","0.35 ( 0.09 )",NA,NA,NA,NA,NA,"-0.19 ( 0.17 )"
"catchment","total nitrogen","9",3,0,3.82491355887768,0.10434780214243,NA,NA,"0.12 ( 0.08 )",NA,"0.32 ( 0.16 )",NA,NA,NA,NA
"catchment","total nitrogen","10",3,4.1296040221763,1.76011154778953,-0.0379864643520766,NA,NA,"0.26 ( 0.06 )",NA,NA,NA,"-0.02 ( 0.16 )",NA,NA
"catchment","total nitrogen","11",3,2.57791676824701,2.53595517475417,0.0179712139793048,NA,NA,"0.21 ( 0.05 )",NA,NA,"0.2 ( 0.16 )",NA,NA,NA
